# Data taken from https://www.pokewiki.de/
german,path,rn,generation,color,english,ep_to_100,gender,size,types,weight,attack,speed,hp,attack_special,defense_special,defense
Bisasam,https://www.pokewiki.de/Bisasam,1,1. Generation‍,Grün,Bulbasaur,1.059.860,"87,5% ♂ 12,5% ♀","0,7 m",Pflanze Gift,"6,9 kg",49,45,45,65,65,49
Bisaknosp,https://www.pokewiki.de/Bisaknosp,2,1. Generation‍,Grün,Ivysaur,1.059.860,"87,5% ♂ 12,5% ♀","1,0 m",Pflanze Gift,"13,0 kg",62,60,60,80,80,63
Bisaflor,https://www.pokewiki.de/Bisaflor,3,1. Generation‍,Grün,Venusaur,1.059.860,"87,5% ♂ 12,5% ♀","2,0 m2,4 m (Mega)",Pflanze Gift,"100,0 kg155,5 kg (Mega)",82,80,80,100,100,83
Glumanda,https://www.pokewiki.de/Glumanda,4,1. Generation‍,Rot,Charmander,1.059.860,"87,5% ♂ 12,5% ♀","0,6 m",Feuer,"8,5 kg",52,65,39,60,50,43
Glutexo,https://www.pokewiki.de/Glutexo,5,1. Generation‍,Rot,Charmeleon,1.059.860,"87,5% ♂ 12,5% ♀","1,1 m",Feuer,"19,0 kg",64,80,58,80,65,58
Glurak,https://www.pokewiki.de/Glurak,6,1. Generation‍,Rot,Charizard,1.059.860,"87,5% ♂ 12,5% ♀","1,7 m",Feuer Flug  Feuer Drache (Mega X),"90,5 kg 110,5 kg (Mega X)100,5 kg (Mega Y)",84,100,78,109,85,78
Schiggy,https://www.pokewiki.de/Schiggy,7,1. Generation‍,Blau,Squirtle,1.059.860,"87,5% ♂ 12,5% ♀","0,5 m",Wasser,"9,0 kg",48,43,44,50,64,65
Schillok,https://www.pokewiki.de/Schillok,8,1. Generation‍,Blau,Wartortle,1.059.860,"87,5% ♂ 12,5% ♀","1,0 m",Wasser,"22,5 kg",63,58,59,65,80,80
Turtok,https://www.pokewiki.de/Turtok,9,1. Generation‍,Blau,Blastoise,1.059.860,"87,5% ♂ 12,5% ♀","1,6 m",Wasser,"85,5 kg101,1 kg (Mega)",83,78,79,85,105,100
Raupy,https://www.pokewiki.de/Raupy,10,1. Generation‍,Grün,Caterpie,1.000.000,50% ♂ 50% ♀,"0,3 m",Käfer,"2,9 kg",30,45,45,20,20,35
Safcon,https://www.pokewiki.de/Safcon,11,1. Generation‍,Grün,Metapod,1.000.000,50% ♂ 50% ♀,"0,7 m",Käfer,"9,9 kg",20,30,50,25,25,55
Smettbo,https://www.pokewiki.de/Smettbo,12,1. Generation‍,Weiß,Butterfree,1.000.000,50% ♂ 50% ♀,"1,1 m",Käfer Flug,"32,0 kg",45,70,60,90,80,50
Hornliu,https://www.pokewiki.de/Hornliu,13,1. Generation‍,Braun,Weedle,1.000.000,50% ♂ 50% ♀,"0,3 m",Käfer Gift,"3,2 kg",35,50,40,20,20,30
Kokuna,https://www.pokewiki.de/Kokuna,14,1. Generation‍,Gelb,Kakuna,1.000.000,50% ♂ 50% ♀,"0,6 m",Käfer Gift,"10,0 kg",25,35,45,25,25,50
Bibor,https://www.pokewiki.de/Bibor,15,1. Generation‍,Gelb,Beedrill,1.000.000,50% ♂ 50% ♀,"1,0 m1,4 m (Mega)",Käfer Gift,"29,5 kg40,5 kg (Mega)",90,75,65,45,80,40
Taubsi,https://www.pokewiki.de/Taubsi,16,1. Generation‍,Braun,Pidgey,1.059.860,50% ♂ 50% ♀,"0,3 m",Normal Flug,"1,8 kg",45,56,40,35,35,40
Tauboga,https://www.pokewiki.de/Tauboga,17,1. Generation‍,Braun,Pidgeotto,1.059.860,50% ♂ 50% ♀,"1,1 m",Normal Flug,"30,0 kg",60,71,63,50,50,55
Tauboss,https://www.pokewiki.de/Tauboss,18,1. Generation‍,Braun,Pidgeot,1.059.860,50% ♂ 50% ♀,"1,5 m2,2 m (Mega)",Normal Flug,"39,5 kg50,5 kg (Mega)",80,101,83,70,70,75
Rattfratz,https://www.pokewiki.de/Rattfratz,19,1. Generation‍,Violett,Rattata,1.000.000,50% ♂ 50% ♀,"0,3 m",Normal   Unlicht Normal (Alola),"3,5 kg3,8 kg (Alola)",56,72,30,25,35,35
Rattikarl,https://www.pokewiki.de/Rattikarl,20,1. Generation‍,Braun,Raticate,1.000.000,50% ♂ 50% ♀,"0,7 m",Normal   Unlicht Normal (Alola),"18,5 kg25,5 kg (Alola)",81,97,55,50,70,60
Habitak,https://www.pokewiki.de/Habitak,21,1. Generation‍,Braun,Spearow,1.000.000,50% ♂ 50% ♀,"0,3 m",Normal Flug,"2,0 kg",60,70,40,31,31,30
Ibitak,https://www.pokewiki.de/Ibitak,22,1. Generation‍,Braun,Fearow,1.000.000,50% ♂ 50% ♀,"1,2 m",Normal Flug,"38,0 kg",90,100,65,61,61,65
